井号,渗透性类型,岩性,井型,造斜点深度(m),生产时间(h),日产液(t),日产油(t),日产水(t),日产气(m3),含水率(%),油压(Mpa),套压(Mpa),动液面(m),泵径(mm),泵深(m),冲程(m),冲次(n/min),泵效(%),抽油机机型,额定载荷(kN),悬点载荷最大值(kN),悬点载荷最小值(kN),电机型号,电机额定功率(kW),平衡度,日耗电量(kW·h),输入功率(kW),地面效率(%),井下效率(%),系统效率(%),泵况分析结果,沉没度(m),抽油机负载率(%),电机功率利用率(%),百米吨液耗电(kW.h),K1,K2,节能限定值,节能评价值,对标结果
Test_001,特低渗透,砂岩,直井,,24,22.83,2.61,20.22,0,88.567674113,0.4,0,1140,44,1809.24,4,4,72.25,YCYJ12-5-48HB,120,63,35.8,CYQT250M-8,30,1.13,156.7,6.53,71.16,62.8,44.68,工作正常,669.24,52.5,21.77,0.6,1.6,1.05,10.71,17.26,优良
Test_002,中渗透,砂岩,直井,,24,32,1,31,0,96.875,0.5,0,1500,44,1702.9,5,4,73.44,CYJS12-5-73HB,120,64.5,33.1,YCCH280-8,30,0.76,258.42,10.77,65.84,79.11,52.09,工作正常,202.9,53.75,35.9,0.54,1,1.05,17.14,27.62,优良
Test_003,特低渗透,砂岩,直井,,24,28,2,26,0,92.8571428571,0.5,0,1132,44,1198.2,4.8,3,90.53,CYJ14-4.8-73HB,140,45.5,21.6,YCCH280-8,30,0.64,210.86,8.79,57.74,73.18,42.25,工作正常,66.2,32.5,29.3,0.67,1.6,1,11.25,18.13,优良
Test_004,特低渗透,砂岩,直井,,24,13,0.64,12.36,0,95.0769230769,0.5,0,224,38,1706.4,4,3,68.32,CYJS12-5-73HB,120,63.4,48.3,YCCH280-8,30,1.02,91.9,3.83,58.96,17.86,10.53,工作正常,1482.4,52.83,12.77,3.16,1.6,1.05,10.71,17.26,不达标
Test_005,特低渗透,砂岩,定向井,550,24,36,12.91,23.09,0,64.1388888889,0.6,0,1600,44,1752.25,5,5,66.92,CYJS12-5-73HB,120,64.2,42.8,YCCH280-8,30,0.67,166.4,6.93,66.5,139.3,92.64,工作正常,152.25,53.5,23.1,0.29,1.6,1.05,10.71,17.26,优良
Test_006,特低渗透,砂岩,直井,,24,31.06,1.11,29.95,0,96.4262717321,0.5,0,1377,56,1600.13,3.8,4,66.82,CYJ14-4.8-73HB,140,77.1,27.8,YCCH280-8,30,0.48,214.91,8.95,66.23,84.39,55.89,工作正常,223.13,55.07,29.83,0.5,1.6,1.05,10.71,17.26,优良
Test_007,特低渗透,砂岩,直井,,24,48.66,5.27,43.39,0,89.1697492807,0.5,0,1018,56,1556.17,4.8,4,74.94,CYJ14-4.8-73HB,140,71.5,32.7,YCCH280-8,30,1.04,223.94,9.33,62,100.17,62.1,工作正常,538.17,51.07,31.1,0.45,1.6,1.05,10.71,17.26,优良
Test_008,特低渗透,砂岩,直井,,24,19.28,3.2,16.08,0,83.4024896266,0.4,0,1690,44,1700.62,4,4,60.61,YCYJ12-5-48HB,120,88.4,42.8,YCCH280-8,30,1.18,241.42,10.06,77.75,47.25,36.74,供液不足,10.62,73.67,33.53,0.74,1.6,1.05,10.71,17.26,优良
Test_009,特低渗透,砂岩,直井,,24,10.83,1.13,9.7,0,89.5660203139,0.4,0,1559,44,1594.37,5,3,35.76,YCYJ12-5-73HB,120,63.2,30.1,CYQT250M-8,30,0.72,193.49,8.06,65.09,36.93,24.04,供液不足,35.37,52.67,26.87,1.15,1.6,1.05,10.71,17.26,优良
Test_010,低渗透,砂岩,直井,,24,14.07,1.02,13.05,0,92.750533049,0.4,0,1155,44,1562.31,3,4,60.46,YCYJ12-5-48HB,120,68.4,34.2,YCCH280-8,30,2.64,159.03,6.63,69.25,41.23,28.55,工作正常,407.31,57,22.1,0.98,1.4,1.05,12.24,19.73,优良
Test_011,中渗透,砂岩,定向井,375,24,6.55,3.88,2.67,0,40.7633587786,0.4,0,1894.24,38,1904.24,3,4,36.49,CYJS12-5-73HB,120,76.2,25.2,YCCH280-8,30,4.96,208.96,8.71,67.88,22.7,15.41,工作正常,10,63.5,29.03,1.68,1,1.05,17.14,27.62,不达标
Test_012,中渗透,砂岩,直井,,24,29.3,1.23,28.07,0,95.8020477816,0.5,0,1158,44,1787.78,5,4,77.2,YCYJ12-5-73HB,120,71.8,36.7,YCCH280-8,30,0.87,241.91,10.08,70.05,56.68,39.7,工作正常,629.78,59.83,33.6,0.71,1,1.05,17.14,27.62,优良
Test_013,中渗透,砂岩,直井,,24,42.3,2.71,39.59,0,93.5933806147,0.6,0,1091,56,1500.13,5,4,68.58,CYJS12-5-73HB,120,76.2,25.2,YCY280M-8,45,0.67,322.49,13.44,60.63,67.25,40.77,工作正常,409.13,63.5,29.87,0.7,1,1.05,17.14,27.62,优良
Test_014,中渗透,砂岩,直井,,24,29.4,2.14,27.26,0,92.7210884354,0.4,0,1046,44,1499.07,4.8,4,75.29,CYJY14-4.8-73HB,140,62.42,37.67,YCCH250-8,30,0.65,208.06,8.67,68.78,60.2,41.41,不知,453.07,44.59,28.9,0.68,1,1,18,29,优良
Test_015,中渗透,砂岩,定向井,125,24,18.2,0.78,17.42,0,95.7142857143,1,0,1560,38,1703.65,5,3.6,69.15,YCYJ12-5-73HB,120,73.6,34,YCCH280-8,30,0.83,180.75,7.53,52.15,87.01,45.37,工作正常,143.65,61.33,25.1,0.64,1,1.05,17.14,27.62,优良
Test_016,中渗透,砂岩,定向井,650,24,4.3,2.81,1.49,0,34.6511627907,0.4,0,1291,38,1797.23,4,4,18.46,YCYJ12-5-73HB,120,73.4,21.6,YCCH280-8,30,1.77,228.58,9.52,68.02,9.3,6.33,泵漏失,506.23,61.17,31.73,4.12,1,1.05,17.14,27.62,不达标
Test_017,特低渗透,砂岩,直井,,24,8.05,0.98,7.07,0,87.8260869565,0.4,0,1988,38,2101.44,4.8,3.8,31.33,CYJ14-4.8-73HB,140,77.4,38.4,YCCH280-8,30,0.26,263.05,10.96,29.64,56.03,16.61,供液不足,113.44,55.29,36.53,1.64,1.6,1.05,10.71,17.26,达标
Test_018,中渗透,砂岩,直井,,24,30.93,2.17,28.76,0,92.9841577756,0.8,0,895,44,1502.25,5,4,98.38,YCYJ12-5-73HB,120,62,30.7,YCCH280-8,30,1.74,204.7,8.53,78.6,50.67,39.82,工作正常,607.25,51.67,28.43,0.74,1,1.05,17.14,27.62,优良
Test_019,中渗透,砂岩,直井,,24,4.32,1.01,3.31,0,76.6203703704,0.4,0,1326,38,1703.99,2.1,5,25.58,CYJ8-3-48B,80,76.4,16.7,YCCH280-8,30,1.16,237.88,9.91,71.54,9.23,6.6,稠油影响,377.99,95.5,33.03,4.15,1,1.05,17.14,27.62,不达标
Test_020,中渗透,砂岩,定向井,375,24,2.02,1.41,0.61,0,30.198019802,0.5,0,1894,38,1904.88,3,3,14.21,CYJS12-5-73HB,120,70.6,32.4,YCCH250-8,30,1.43,149,6.21,62.61,10.58,6.62,供液不足,10.88,58.83,20.7,3.89,1,1.05,17.14,27.62,不达标
Test_021,中渗透,砂岩,定向井,375,24,9.84,0.59,9.25,0,94.0040650407,0.5,0,781,38,1894.47,5,4,39.85,CYJS12-5-73HB,120,58.8,26,YCCH280-8,30,0.62,254.44,10.6,65.2,13.34,8.7,泵漏失,1113.47,49,35.33,3.31,1,1.05,17.14,27.62,不达标
Test_022,中渗透,砂岩,定向井,375,24,1.03,0.94,0.09,0,8.7378640777,0.5,0,1892,38,1902.62,3,4,5.24,CYJS12-5-73HB,120,74.7,34.8,YCCH280-8,30,1.49,169.16,7.05,75.92,3.75,2.85,供液不足,10.62,62.25,23.5,8.68,1,1.05,17.14,27.62,不达标
Test_023,中渗透,砂岩,定向井,1346,24,3.2,0.71,2.49,0,77.8125,0.3,0,1841,38,1851.32,3,4,15.41,CYJS12-5-73HB,120,65.68,43.12,YCCH280-8,30,2.83,96.62,4.03,37.13,44.26,16.43,不知,10.32,54.73,13.43,1.64,1,1.05,17.14,27.62,不达标
Test_024,中渗透,砂岩,定向井,475,24,7.93,6.28,1.65,0,20.8070617907,0.5,0,1377,38,1801.22,3,3,59.85,CYJS12-5-73HB,120,70.3,19.7,YCCH280-8,30,1.71,168.74,7.03,73.29,22.79,16.7,气体影响,424.22,58.58,23.43,1.55,1,1.05,17.14,27.62,不达标
Test_025,中渗透,砂岩,定向井,350,24,7.77,4.84,2.93,0,37.7091377091,0.4,0,1887,38,1897.55,4,4,33.29,CYJS12-5-73HB,120,76.9,34.6,YCCH280-8,30,0.8,181.62,7.57,69.99,29.83,20.88,供液不足,10.55,64.08,25.23,1.24,1,1.05,17.14,27.62,达标
Test_026,特低渗透,砂岩,直井,,24,10.91,1.4,9.51,0,87.167736022,0.45,0,1334,38,1806.25,2.4,3.4,85.85,CYJ10-3-48HB,100,68.7,39.2,YCCH280-8,30,0.31,108.79,4.53,50.46,81.18,40.97,工作正常,472.25,68.7,15.1,0.75,1.6,1.05,10.71,17.26,优良
Test_027,中渗透,砂岩,定向井,800,24,1.38,0.85,0.53,0,38.4057971014,0.4,0,1897,38,1901.72,3,4,7.22,CYJS12-5-73HB,120,80.6,31.3,YCCH280-8,30,1.96,193.25,8.05,78.85,4.45,3.51,供液不足,4.72,67.17,26.83,7.38,1,1.05,17.14,27.62,不达标
Test_028,中渗透,砂岩,定向井,350,24,2.77,2.52,0.25,0,9.0252707581,0.4,0,1945,38,1955.92,3,4,15,CYJS12-5-73HB,120,74.2,30.1,YCCH280-8,30,1.68,163.12,6.8,73.65,11.23,8.27,供液不足,10.92,61.83,22.67,3.03,1,1.05,17.14,27.62,不达标
Test_029,中渗透,砂岩,直井,,24,35.16,1.9,33.26,0,94.5961319681,0.9,0,1008,56,1509.89,5,4,55.67,CYJS12-5-73HB,120,72.9,25.2,YCCH280-8,30,1.03,269.83,11.24,67.13,57.73,38.75,供液不足,501.89,60.75,37.47,0.76,1,1.05,17.14,27.62,优良
Test_030,中渗透,砂岩,定向井,575,24,1.07,0.99,0.08,0,7.476635514,0.4,0,1695,38,1705.81,3,3.5,6.66,CYJS12-5-73HB,120,50.2,18.5,YCCH280-8,30,1.85,127.26,5.3,58.73,6.09,3.58,供液不足,10.81,41.83,17.67,7.02,1,1.05,17.14,27.62,不达标
Test_031,特低渗透,砂岩,直井,,24,4.95,0.53,4.42,0,89.2929292929,0.5,0,1375,44,1799.12,3,4.5,17.55,CYJS12-5-73HB,120,92.1,51,YCCH280-8,30,1.21,210.79,8.78,39.89,22.44,8.95,供液不足,424.12,76.75,29.27,3.1,1.6,1.05,10.71,17.26,不达标
Test_032,特低渗透,砂岩,直井,,24,21.8,1.84,19.96,0,91.5596330275,0.4,0,1060,44,1702.86,4.8,3.5,65.58,CYJW12-4.8-73HF,120,73.6,34,YCCH280-8,30,0.66,239.95,10,64.81,41.63,26.98,工作正常,642.86,61.33,33.33,1.04,1.6,1.05,10.71,17.26,优良
Test_033,特低渗透,砂岩,直井,,24,19.96,2.28,17.68,0,88.5771543086,0.4,0,1060,38,1100.11,5,4,61.04,CYJS12-5-73HB,120,45.5,24.7,YCCH280-8,30,1.75,184.84,7.7,74.47,42.75,31.84,工作正常,40.11,37.92,25.67,0.87,1.6,1,11.25,18.13,优良
Test_034,特低渗透,砂岩,直井,,24,11.59,0.32,11.27,0,97.2389991372,0.45,0,1386,44,1396.81,5,3.5,31.69,YCYJ12-5-48HB,120,57,25.3,YCCH280-8,30,1.34,119.88,4.99,37.69,99.56,37.52,供液不足,10.81,47.5,16.63,0.75,1.6,1,11.25,18.13,优良
Test_035,特低渗透,砂岩,直井,,24,24.62,0.63,23.99,0,97.4411047929,0.5,0,1430,44,1802.36,4.8,3.5,70.61,CYJ14-4.8-73HB,140,68.4,35.7,YCCH280-8,30,1.13,163.49,6.81,64.29,94.12,60.51,泵漏失,372.36,48.86,22.7,0.46,1.6,1.05,10.71,17.26,优良
Test_036,特低渗透,砂岩,直井,,24,37.5,3.37,34.13,0,91.0133333333,0.55,0,1000,44,1803.11,5,4,85.98,CYJS12-5-73HB,120,51.7,37,YCCH280-8,30,0.94,121.81,5.08,49.01,178.7,87.58,工作正常,803.11,43.08,16.93,0.32,1.6,1.05,10.71,17.26,优良
Test_037,特低渗透,砂岩,直井,,24,19.12,3.98,15.14,0,79.1841004184,0.4,0,628,38,1901.36,4.8,3,78.39,CYJ14-4.8-73HB,140,78.5,34.9,CYQT250M-8,30,1.32,170.46,7.1,45.58,43.31,19.74,工作正常,1273.36,56.07,23.67,1.42,1.6,1.05,10.71,17.26,优良
Test_038,特低渗透,砂岩,直井,,24,3.78,0.43,3.35,0,88.6243386243,0.4,0,1130,32,1804.52,2.6,4.5,30.04,CYJ10-3-48HB,100,55.9,35.2,CYQT250M-8,30,0.41,124.21,5.18,45.6,21.13,9.63,工作正常,674.52,55.9,17.27,2.91,1.6,1.05,10.71,17.26,不达标
Test_039,特低渗透,砂岩,直井,,24,25.4,2.99,22.41,0,88.2283464567,0.5,0,1495,56,1505.48,5,2.5,64.28,CYJS12-5-73HB,120,70.7,31.3,YCCH280-8,30,0.68,353.15,14.71,46.37,64.18,29.76,供液不足,10.48,58.92,49.03,0.93,1.6,1.05,10.71,17.26,优良
Test_040,特低渗透,砂岩,直井,,24,31.11,3.16,27.95,0,89.8424943748,0.45,0,1587,44,1803.01,4.8,4.5,65.59,CYJ12-4.8-73HB,120,123.1,82.8,YCCH280-8,30,1.98,257.9,10.75,78.31,67.47,52.84,工作正常,216.01,102.58,35.83,0.52,1.6,1.05,10.71,17.26,优良
Test_041,特低渗透,砂岩,直井,,24,3.39,0.45,2.94,0,86.7256637168,0.5,0,422,38,1681.81,4,4,20.38,CYJS12-5-73HB,120,50.6,36,YCCH280-8,30,1.1,98.62,4.11,52.79,8.23,4.34,泵漏失,1259.81,42.17,13.7,6.89,1.6,1.05,10.71,17.26,不达标
Test_042,特低渗透,砂岩,直井,,24,6.21,0.36,5.85,0,94.2028985507,0.6,0,1590,38,1602.89,4,3,33.03,CYJS12-5-73HB,120,57.8,27.6,YCCH280-8,30,1.62,140.38,5.85,62.99,31.32,19.73,供液不足,12.89,48.17,19.5,1.42,1.6,1.05,10.71,17.26,优良
Test_043,特低渗透,砂岩,定向井,525,24,20.3,0.7,19.6,0,96.5517241379,0.5,0,1334,38,1495.89,4,4.5,72.67,YCYJ12-5-73HB,120,55.8,34.2,CYQT250M-8,30,0.51,273.58,11.4,63.87,43.66,27.88,不知,161.89,46.5,38,1.01,1.6,1,11.25,18.13,优良
Test_044,特低渗透,砂岩,定向井,850,24,11.28,3.25,8.03,0,71.1879432624,0.4,0,1283,38,1800.94,4,4,47.56,CYJS12-5-73HB,120,59.3,39.5,YCCH280-8,30,1.44,232.79,9.7,70.51,23.69,16.7,油管漏失,517.94,49.42,32.33,1.61,1.6,1.05,10.71,17.26,达标
Test_045,中渗透,砂岩,定向井,125,24,10.93,2.44,8.49,0,77.6761207685,0.34,0,1148,32,1997.31,5,4,49.87,YCYJ12-5-73HB,120,75.7,47.6,YCCH280-8,30,1.72,194.26,8.09,75.28,23.25,17.5,工作正常,849.31,63.08,26.97,1.55,1,1.05,17.14,27.62,达标
Test_046,中渗透,砂岩,直井,,24,20.69,0.53,20.16,0,97.4383760271,0.4,0,1750,38,2000.23,5,4,71.24,YCYJ12-5-73HB,120,66.5,45.7,CYQT250M-8,30,1.11,271.44,11.31,74.11,50.06,37.1,工作正常,250.23,55.42,37.7,0.75,1,1.05,17.14,27.62,优良
